s,t,delta
276,1,0
276,2,0
276,1,0
276,2,0
276,1,0
275,2,-1
276,1,1
275,2,-1
275,1,0
276,2,1
274,1,-2
274,2,0
275,1,1
275,2,0
274,1,-1
274,2,0
274,1,0
273,2,-1
273,1,0
273,2,0
274,1,1
273,2,-1
273,1,0
273,2,0
273,1,0
272,2,-1
272,1,0
272,2,0
272,1,0
272,2,0
272,1,0
271,2,-1
272,1,1
271,2,-1
271,1,0
271,2,0
271,1,0
271,2,0
271,1,0
270,2,-1
271,1,1
270,2,-1
271,1,1
270,2,-1
270,1,0
270,2,0
270,1,0
270,2,0
270,1,0
270,2,0
269,1,-1
270,2,1
269,1,-1
270,2,1
269,1,-1
269,2,0
269,1,0
269,2,0
269,1,0
269,2,0
268,1,-1
268,2,0
268,1,0
268,2,0
268,1,0
268,2,0
268,1,0
268,2,0
268,1,0
268,2,0
268,1,0
268,2,0
268,1,0
267,2,-1
266,1,-1
267,2,1
267,1,0
266,2,-1
266,1,0
267,2,1
266,1,-1
266,2,0
266,1,0
266,2,0
266,1,0
266,2,0
265,1,-1
265,2,0
265,1,0
265,2,0
265,1,0
265,2,0
265,1,0
265,2,0
264,1,-1
264,2,0
265,1,1
263,2,-2
264,1,1
263,2,-1
264,1,1
264,2,0
264,1,0
264,2,0
264,1,0
264,2,0
264,1,0
263,2,-1
264,1,1
264,2,0
263,1,-1
263,2,0
263,1,0
263,2,0
263,1,0
263,2,0
263,1,0
262,2,-1
263,1,1
263,2,0
262,1,-1
262,2,0
262,1,0
263,2,1
263,1,0
263,2,0
262,1,-1
263,2,1
262,1,-1
262,2,0
262,1,0
262,2,0
262,1,0
262,2,0
262,1,0
262,2,0
262,1,0
262,2,0
262,1,0
262,2,0
262,1,0
262,2,0
262,1,0
262,2,0
261,1,-1
261,2,0
261,1,0
262,2,1
262,1,0
262,2,0
261,1,-1
261,2,0
261,1,0
261,2,0
261,1,0
262,2,1
261,1,-1
261,2,0
261,1,0
262,2,1
261,1,-1
261,2,0
260,1,-1
261,2,1
261,1,0
261,2,0
260,1,-1
261,2,1
261,1,0
261,2,0
261,1,0
261,2,0
261,1,0
261,2,0
261,1,0
261,2,0
260,1,-1
261,2,1
261,1,0
261,2,0
261,1,0
260,2,-1
260,1,0
261,2,1
261,1,0
260,2,-1
260,1,0
260,2,0
260,1,0
260,2,0
260,1,0
260,2,0
261,1,1
260,2,-1
260,1,0
260,2,0
260,1,0
260,2,0
260,1,0
260,2,0
260,1,0
260,2,0
260,1,0
260,2,0
260,1,0
259,2,-1
260,1,1
259,2,-1
260,1,1
260,2,0
258,1,-2
252,2,-6
254,1,2
254,2,0
260,1,6
251,2,-9
259,1,8
250,2,-9
250,1,0
253,2,3
250,1,-3
258,2,8
254,1,-4
250,2,-4
253,1,3
250,2,-3
252,1,2
255,2,3
250,1,-5
250,2,0
250,1,0
249,2,-1
249,1,0
249,2,0
248,1,-1
250,2,2
248,1,-2
248,2,0
249,1,1
248,2,-1
248,1,0
248,2,0
248,1,0
248,2,0
248,1,0
248,2,0
247,1,-1
247,2,0
247,1,0
248,2,1
247,1,-1
247,2,0
246,1,-1
247,2,1
247,1,0
247,2,0
247,1,0
247,2,0
247,1,0
246,2,-1
247,1,1
247,2,0
246,1,-1
246,2,0
246,1,0
245,2,-1
246,1,1
246,2,0
246,1,0
246,2,0
246,1,0
246,2,0
246,1,0
246,2,0
246,1,0
246,2,0
246,1,0
246,2,0
245,1,-1
246,2,1
246,1,0
245,2,-1
245,1,0
246,2,1
246,1,0
245,2,-1
246,1,1
246,2,0
245,1,-1
246,2,1
245,1,-1
245,2,0
245,1,0
245,2,0
245,1,0
245,2,0
245,1,0
245,2,0
245,1,0
245,2,0
245,1,0
245,2,0
245,1,0
245,2,0
245,1,0
245,2,0
244,1,-1
244,2,0
245,1,1
245,2,0
244,1,-1
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
245,2,1
244,1,-1
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
244,1,0
244,2,0
243,1,-1
244,2,1
244,1,0
244,2,0
243,1,-1
244,2,1
243,1,-1
244,2,1
244,1,0
244,2,0
243,1,-1
244,2,1
244,1,0
243,2,-1
244,1,1
243,2,-1
244,1,1
243,2,-1
243,1,0
243,2,0
243,1,0
243,2,0
243,1,0
243,2,0
